id,doi,originalTitle,title,authorString,authorAffiliations,journalTitle,pubYear,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,urls
31353050,https://doi.org/10.1016/s0140-6736(19)31359-5,Eligibility and subsequent burden of cardiovascular disease of four strategies for blood pressure-lowering treatment: a retrospective cohort study,Eligibility and subsequent burden of cardiovascular disease of four strategies for blood pressure-lowering treatment: a retrospective cohort study.,"Herrett E, Gadd S, Jackson R, Bhaskaran K, Williamson E, van Staa T, Sofat R, Timmis A, Smeeth L.",,"Lancet (London, England)",2019,Y,,Better Care,,"BACKGROUND:Worldwide treatment recommendations for lowering blood pressure continue to be guided predominantly by blood pressure thresholds, despite strong evidence that the benefits of blood pressure reduction are observed in patients across the blood pressure spectrum. In this study, we aimed to investigate the implications of alternative strategies for offering blood pressure treatment, using the UK as an illustrative example. METHODS:We did a retrospective cohort study in primary care patients aged 30-79 years without cardiovascular disease, using data from the UK's Clinical Practice Research Datalink linked to Hospital Episode Statistics and Office for National Statistics mortality. We assessed and compared four different strategies to determine eligibility for treatment: using 2011 UK National Institute for Health and Care Excellence (NICE) guideline, or proposed 2019 NICE guideline, or blood pressure alone (threshold ≥140/90 mm Hg), or predicted 10-year cardiovascular risk alone (QRISK2 score ≥10%). Patients were followed up until the earliest occurrence of a cardiovascular disease diagnosis, death, or end of follow-up period (March 31, 2016). For each strategy, we estimated the proportion of patients eligible for treatment and number of cardiovascular events that could be prevented with treatment. We then estimated eligibility and number of events that would occur during 10 years in the UK general population. FINDINGS:Between Jan 1, 2011, and March 31, 2016, 1 222 670 patients in the cohort were followed up for a median of 4·3 years (IQR 2·5-5·2). 271 963 (22·2%) patients were eligible for treatment under the 2011 NICE guideline, 327 429 (26·8%) under the proposed 2019 NICE guideline, 481 859 (39·4%) on the basis of a blood pressure threshold of 140/90 mm Hg or higher, and 357 840 (29·3%) on the basis of a QRISK2 threshold of 10% or higher. During follow-up, 32 183 patients were diagnosed with cardiovascular disease (overall rate 7·1 per 1000 person-years, 95% CI 7·0-7·2). Cardiovascular event rates in patients eligible for each strategy were 15·2 per 1000 person-years (95% CI 15·0-15·5) under the 2011 NICE guideline, 14·9 (14·7-15·1) under the proposed 2019 NICE guideline, 11·4 (11·3-11·6) with blood pressure threshold alone, and 16·9 (16·7-17·1) with QRISK2 threshold alone. Scaled to the UK population, we estimated that 233 152 events would be avoided under the 2011 NICE guideline (28 patients needed to treat for 10 years to avoid one event), 270 233 under the 2019 NICE guideline (29 patients), 301 523 using a blood pressure threshold (38 patients), and 322 921 using QRISK2 threshold (27 patients). INTERPRETATION:A cardiovascular risk-based strategy (QRISK2 ≥10%) could prevent over a third more cardiovascular disease events than the 2011 NICE guideline and a fifth more than the 2019 NICE guideline, with similar efficiency regarding number treated per event avoided. FUNDING:National Institute for Health Research.",doi:https://doi.org/10.1016/S0140-6736(19)31359-5; html:https://europepmc.org/articles/PMC6717081
31331193,https://doi.org/10.1161/circulationaha.119.041546,Impact of ADCY9 Genotype on Response to Anacetrapib,Impact of ADCY9 Genotype on Response to Anacetrapib.,"Hopewell JC, Ibrahim M, Hill M, Shaw PM, Braunwald E, Blaustein RO, Bowman L, Landray MJ, Sabatine MS, Collins R, HPS3/TIMI55 - REVEAL Collaborative Group.",,Circulation,2019,Y,Anacetrapib; Major Vascular Events; Cetp-inhibition,"Better, Faster and More Efficient Clinical Trials",,"BACKGROUND:Exploratory analyses of previous randomized trials generated a hypothesis that the clinical response to CETP inhibitor therapy differs by ADCY9 genotype, prompting the ongoing dal-GenE trial in individuals with a particular genetic profile. The randomized placebo-controlled REVEAL trial demonstrated the clinical efficacy of the CETP inhibitor anacetrapib among patients with pre-existing atherosclerotic vascular disease. In the present study, we have examined the impact of ADCY9 genotype on response to anacetrapib within the REVEAL trial. METHODS:Individuals with stable atherosclerotic vascular disease, who were treated with intensive atorvastatin therapy, received either anacetrapib 100 mg daily or matching placebo. Cox proportional hazards models, adjusted for the first 5 principal components of ancestry, were used to estimate the effects of allocation to anacetrapib on major vascular events (a composite of coronary death, myocardial infarction, coronary revascularization or presumed ischaemic stroke) and the interaction with ADCY9 rs1967309 genotype. RESULTS:Among 19,210 genotyped individuals of European ancestry, 2,504 (13.0%) had a first major vascular event during 4 years median follow-up: 1,216 (12.6%) among anacetrapib-allocated participants and 1,288 (13.4%) among placebo-allocated participants. Proportional reductions in the risk of major vascular events with anacetrapib did not differ significantly by ADCY9 genotype: HR = 0.92 (95% CI, 0.81-1.05) for GG; HR = 0.94 (95% CI, 0.84-1.06) for AG; and HR = 0.93 (95% CI, 0.76-1.13) for AA genotype carriers respectively; genotypic p for interaction = 0.96. Furthermore, there were no associations between ADCY9 genotype and the proportional reductions in the separate components of major vascular events, or meaningful differences in lipid response to anacetrapib. CONCLUSIONS:The REVEAL trial is the single largest study to date evaluating the ADCY9 pharmacogenetic interaction. It provides no support for the hypothesis that ADCY9 genotype is materially relevant to the clinical effects of the CETP inhibitor anacetrapib. The ongoing dal-GenE study will provide direct evidence as to whether there is any specific pharmacogenetic interaction with dalcetrapib. CLINICAL TRIAL REGISTRATION:URL: https://www.clinicaltrials.gov Unique Identifier: NCT01252953; URL: http://www.isrctn.com Unique Identifier: ISRCTN48678192; URL: https://www.clinicaltrialsregister.eu Unique Identifier: 2010-023467-18.",doi:https://doi.org/10.1161/CIRCULATIONAHA.119.041546; html:https://europepmc.org/articles/PMC6749971; pdf:https://europepmc.org/articles/PMC6749971?pdf=render
31242963,https://doi.org/10.1016/j.vaccine.2019.06.019,An online decision tree for vaccine efficacy trial design during infectious disease epidemics: The InterVax-Tool,An online decision tree for vaccine efficacy trial design during infectious disease epidemics: The InterVax-Tool.,"Bellan SE, Eggo RM, Gsell PS, Kucharski AJ, Dean NE, Donohue R, Zook M, Edmunds WJ, Odhiambo F, Longini IM, Brisson M, Mahon BE, Henao-Restrepo AM.",,Vaccine,2019,Y,Vaccines; Decision support system; epidemics; Outbreaks; Emerging Infectious Diseases; Phase Iii Trial; Scientific Communication; Public Health Emergency; Vaccine Trial Design,"Applied Analytics, Better Care, Better, Faster and More Efficient Clinical Trials",,"BACKGROUND:Licensed vaccines are urgently needed for emerging infectious diseases, but the nature of these epidemics causes challenges for the design of phase III trials to evaluate vaccine efficacy. Designing and executing rigorous, fast, and ethical, vaccine efficacy trials is difficult, and the decisions and limitations in the design of these trials encompass epidemiological, logistical, regulatory, statistical, and ethical dimensions. RESULTS:Trial design decisions are complex and interrelated, but current guidance documents do not lend themselves to efficient decision-making. We created InterVax-Tool (http://vaxeval.com), an online, interactive decision-support tool, to help diverse stakeholders navigate the decisions in the design of phase III vaccine trials. InterVax-Tool offers high-level visual and interactive assistance through a set of four decision trees, guiding users through selection of the: (1) Primary Endpoint, (2) Target Population, (3) Randomization Scheme, and, (4) Comparator. We provide guidance on how key considerations - grouped as Epidemiological, Vaccine-related, Infrastructural, or Sociocultural - inform each decision in the trial design process. CONCLUSIONS:InterVax-Tool facilitates structured, transparent, and collaborative discussion of trial design, while recording the decision-making process. Users can save and share their decisions, which is useful both for comparing proposed trial designs, and for justifying particular design choices. Here, we describe the goals and features of InterVax-Tool as well as its application to the design of a Zika vaccine efficacy trial.",doi:https://doi.org/10.1016/j.vaccine.2019.06.019; html:https://europepmc.org/articles/PMC6620503
30382236,https://doi.org/10.1038/s41433-018-0229-6,The diagnostic accuracy of OCT angiography in naive and treated neovascular age-related macular degeneration: a review.,The diagnostic accuracy of OCT angiography in naive and treated neovascular age-related macular degeneration: a review.,"Perrott-Reynolds R, Cann R, Cronbach N, Neo YN, Ho V, McNally O, Madi HA, Cochran C, Chakravarthy U.",,"Eye (London, England)",2019,N,,,,"Optical coherence tomography angiography (OCTA) is a non-invasive retinal imaging innovation that has been gaining popularity for the evaluation of the retinal vasculature. Of clinical importance is its current use either as an alternative or in conjunction with conventional dye-based angiography in neovascular age-related macular degeneration. OCTA is not without limitations and these include image artefact, a relatively small field of view and failure of the segmentation algorithms, which can confound the interpretation of findings. While there are numerous publications on OCTA in neovascular AMD, few have examined the diagnostic accuracy of this new technology compared with the accepted gold standard of fundus fluorescein angiography (FFA). In this review, we summarise the literature on the clinical application of OCTA in nAMD. In particular, we have reviewed the published articles that have reported the sensitivity and specificity of OCTA in the diagnosis of nAMD, and those that have described and or correlated the morphological findings and compared them to dye-based angiography.",doi:https://doi.org/10.1038/s41433-018-0229-6; html:https://europepmc.org/articles/PMC6367454; pdf:https://europepmc.org/articles/PMC6367454?pdf=render; doi:https://doi.org/10.1038/s41433-018-0229-6
31315158,https://doi.org/10.1002/cnm.3235,Non-invasive coronary CT angiography-derived fractional flow reserve: A benchmark study comparing the diagnostic performance of four different computational methodologies,Non-invasive coronary CT angiography-derived fractional flow reserve: A benchmark study comparing the diagnostic performance of four different computational methodologies.,"Carson JM, Pant S, Roobottom C, Alcock R, Javier Blanco P, Alberto Bulant C, Vassilevski Y, Simakov S, Gamilov T, Pryamonosov R, Liang F, Ge X, Liu Y, Nithiarasu P.",,International journal for numerical methods in biomedical engineering,2019,Y,Fractional Flow Reserve; Benchmark; Haemodynamic Models,Applied Analytics,,"Non-invasive coronary computed tomography (CT) angiography-derived fractional flow reserve (cFFR) is an emergent approach to determine the functional relevance of obstructive coronary lesions. Its feasibility and diagnostic performance has been reported in several studies. It is unclear if differences in sensitivity and specificity between these studies are due to study design, population, or ""computational methodology."" We evaluate the diagnostic performance of four different computational workflows for the prediction of cFFR using a limited data set of 10 patients, three based on reduced-order modelling and one based on a 3D rigid-wall model. The results for three of these methodologies yield similar accuracy of 6.5% to 10.5% mean absolute difference between computed and measured FFR. The main aspects of modelling which affected cFFR estimation were choice of inlet and outlet boundary conditions and estimation of flow distribution in the coronary network. One of the reduced-order models showed the lowest overall deviation from the clinical FFR measurements, indicating that reduced-order models are capable of a similar level of accuracy to a 3D model. In addition, this reduced-order model did not include a lumped pressure-drop model for a stenosis, which implies that the additional effort of isolating a stenosis and inserting a pressure-drop element in the spatial mesh may not be required for FFR estimation. The present benchmark study is the first of this kind, in which we attempt to homogenize the data required to compute FFR using mathematical models. The clinical data utilised in the cFFR workflows are made publicly available online.",doi:https://doi.org/10.1002/cnm.3235; html:https://europepmc.org/articles/PMC6851543; pdf:https://europepmc.org/articles/PMC6851543?pdf=render
31289267,https://doi.org/10.1038/s41467-019-10724-w,Mapping the drivers of within-host pathogen evolution using massive data sets,Mapping the drivers of within-host pathogen evolution using massive data sets.,"Palmer DS, Turner I, Fidler S, Frater J, Goedhals D, Goulder P, Huang KG, Oxenius A, Phillips R, Shapiro R, Vuuren CV, McLean AR, McVean G.",,Nature communications,2019,Y,,Applied Analytics,,"Differences among hosts, resulting from genetic variation in the immune system or heterogeneity in drug treatment, can impact within-host pathogen evolution. Genetic association studies can potentially identify such interactions. However, extensive and correlated genetic population structure in hosts and pathogens presents a substantial risk of confounding analyses. Moreover, the multiple testing burden of interaction scanning can potentially limit power. We present a Bayesian approach for detecting host influences on pathogen evolution that exploits vast existing data sets of pathogen diversity to improve power and control for stratification. The approach models key processes, including recombination and selection, and identifies regions of the pathogen genome affected by host factors. Our simulations and empirical analysis of drug-induced selection on the HIV-1 genome show that the method recovers known associations and has superior precision-recall characteristics compared to other approaches. We build a high-resolution map of HLA-induced selection in the HIV-1 genome, identifying novel epitope-allele combinations.",doi:https://doi.org/10.1038/s41467-019-10724-w; html:https://europepmc.org/articles/PMC6616926; pdf:https://europepmc.org/articles/PMC6616926?pdf=render
31282950,https://doi.org/10.1001/jamaneurol.2019.1812,Association Between Idiopathic Intracranial Hypertension and Risk of Cardiovascular Diseases in Women in the United Kingdom,Association Between Idiopathic Intracranial Hypertension and Risk of Cardiovascular Diseases in Women in the United Kingdom.,"Adderley NJ, Subramanian A, Nirantharakumar K, Yiangou A, Gokhale KM, Mollan SP, Sinclair AJ.",,JAMA neurology,2019,Y,,Understanding the Causes of Disease,,"Importance:Cardiovascular disease (CVD) risk has not been previously evaluated in a large matched cohort study in idiopathic intracranial hypertension (IIH). Objectives:To estimate the risk of composite cardiovascular events, heart failure, ischemic heart disease, stroke/transient ischemic attack (TIA), type 2 diabetes, and hypertension in women with idiopathic intracranial hypertension and compare it with the risk in women, matched on body mass index (BMI) and age, without the condition; and to evaluate the prevalence and incidence of IIH. Design, Setting, and Participants:This population-based matched controlled cohort study used 28 years of data, from January 1, 1990, to January 17, 2018, from The Health Improvement Network (THIN), an anonymized, nationally representative electronic medical records database in the United Kingdom. All female patients aged 16 years or older were eligible for inclusion. Female patients with IIH (n = 2760) were included and randomly matched with up to 10 control patients (n = 27 125) by BMI and age. Main Outcomes and Measures:Adjusted hazard ratios (aHRs) of cardiovascular outcomes were calculated using Cox regression models. The primary outcome was a composite of any CVD (heart failure, ischemic heart disease, and stroke/TIA), and the secondary outcomes were each CVD outcome, type 2 diabetes, and hypertension. Results:In total, 2760 women with IIH and 27 125 women without IIH were included. Age and BMI were similar between the 2 groups, with a median (interquartile range) age of 32.1 (25.6-42.0) years in the exposed group and 32.1 (25.7-42.1) years in the control group; in the exposed group 1728 women (62.6%) were obese, and in the control group 16514 women (60.9%) were obese. Higher absolute risks for all cardiovascular outcomes were observed in women with IIH compared with control patients. The aHRs were as follows: composite cardiovascular events, 2.10 (95% CI, 1.61-2.74; P < .001); heart failure, 1.97 (95% CI, 1.16-3.37; P = .01); ischemic heart disease, 1.94 (95% CI, 1.27-2.94; P = .002); stroke/TIA, 2.27 (95% CI, 1.61-3.21; P < .001); type 2 diabetes, 1.30 (95% CI, 1.07-1.57; P = .009); and hypertension, 1.55 (95% CI, 1.30-1.84; P < .001). The incidence of IIH in female patients more than tripled between 2005 and 2017, from 2.5 to 9.3 per 100 000 person-years. Similarly, IIH prevalence increased in the same period, from 26 to 79 per 100 000 women. Incidence increased markedly with BMI higher than 30. Conclusions and Relevance:Idiopathic intracranial hypertension in women appeared to be associated with a 2-fold increase in CVD risk; change in patient care to modify risk factors for CVD may reduce long-term morbidity for women with IIH and warrants further evaluation.",doi:https://doi.org/10.1001/jamaneurol.2019.1812; html:https://europepmc.org/articles/PMC6618853
31249320,https://doi.org/10.1038/s41598-019-45562-9,"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children","Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.","Hastie CE, Mackay DF, Clemens TL, Cherrie MPC, King A, Dibben C, Pell JP.",,Scientific reports,2019,Y,,Improving Public Health,,"Learning disability varies by month of conception. The underlying mechanism is unknown but vitamin D, necessary for normal brain development, is commonly deficient over winter in high latitude countries due to insufficient ultraviolet radiation. We linked the 2007-2016 Scottish School Pupil Censuses to Scottish maternity records and to sunshine hours and antenatal ultraviolet A/B radiation exposure derived from weather stations and satellites respectively. Logistic regression analyses were used to explore the associations between solar radiation, then ultraviolet B, and learning disabilities, adjusting for the potential confounding effects of month of conception and sex. Of the 422,512 eligible, singleton schoolchildren born at term in Scotland, 79,616 (18.8%) had a learning disability. Total antenatal sunshine hours (highest quintile; adjusted OR 0.89; 95% CI: 0.86, 0.93; p < 0.001) and ultraviolet B exposure (highest quintile; adjusted OR 0.55; 95% CI: 0.51, 0.60; p < 0.001) were inversely associated with learning disabilities with evidence of a dose-relationship. The latter association was independent of ultraviolet A exposure. Significant associations were demonstrated for exposure in all three trimesters. Low maternal exposure to ultraviolet B radiation may play a role in the seasonal patterning of learning disabilities. Further studies are required to corroborate findings and determine the effectiveness of supplements.",doi:https://doi.org/10.1038/s41598-019-45562-9; html:https://europepmc.org/articles/PMC6597711; pdf:https://europepmc.org/articles/PMC6597711?pdf=render
,https://doi.org/,"A simple interface to inspect, improve and add concepts to biomedical “Named Entity Recognition and Linking” model (e.g. MedCAT)","A simple interface to inspect, improve and add concepts to biomedical “Named Entity Recognition and Linking” model (e.g. MedCAT)",,,No Journal Info,,,,Applied Analytics,,,
31312209,https://doi.org/10.3389/fgene.2019.00567,Use of Pharmacogenetic Drugs by the Dutch Population,Use of Pharmacogenetic Drugs by the Dutch Population.,"Alshabeeb MA, Deneer VHM, Khan A, Asselbergs FW.",,Frontiers in genetics,2019,Y,CYP2C19; CYP2D6; Pharmacogenetics; Adrs; Slco1b1; Preemptive Genetic Testing,Better Care,,"Introduction:The Dutch Pharmacogenetics Working Group (DPWG) indicated a list of actionable genotypes that affect patients' response to more 50 drugs; these drugs which show variable effects based on patients' genetic traits were named as pharmacogenetics (PGX) drugs. Preemptive genetic testing before using these drugs may protect certain patients from serious adverse reactions and could help in avoiding treatment failures. The objectives of this study include identifying the rate of PGX drug usage among Dutch population, estimating the level of users who carry the actionable genotypes and determining the main genes involved in drug's effect variability. Methods:Usage of PGX drugs over 2011-2017 by the insured population (an average of 11.4 million) in outpatient clinics in Netherlands was obtained from the publically available GIP databank. The data of 45 drugs were analyzed and their interactions with selected pharmacogenes were estimated. Frequency of actionable genotypes of 249 Dutch parents was obtained from the public database: Genome of Netherlands (GoNL), to identify the pattern of genetic characteristics of Dutch population. Results:Over a 7 year period, 51.3 million exposures of patients to PGX drugs were reported with an average of 5.3 exposures per each drug user. One quarterof the exposures (12.4 million) are predicted to be experienced by individuals with actionable genotypes (risky exposures). Up to 60% of the risky exposures (around 7.5 million) were related to drugs metabolized by CYP2D6. SLCO1B1, and CYP2C19 were also identified among the top genes affecting response of drugs users (involved in about 22 and 12.4% of the risky exposures, respectively). Cardiovascular medications were the top prescribed PGX drug class (43%), followed by gastroenterology (29%) and psychiatry/neurology medications (15%). Women use more PGX drugs than men (55.8 vs. 44.2%, respectively) with the majority (84%) of users in both sexes are above 45 years. Conclusion:PGX drugs are commonly used in Netherlands. Preemptive panel testing for CYP2D6, SLCO1B1, and CYP2C19 only could be useful to predict 95% of vulnerable patients' exposures to PGX drugs. Future studies to assess the economic impact of preemptive panel testing on patients of older age are suggested.",doi:https://doi.org/10.3389/fgene.2019.00567; html:https://europepmc.org/articles/PMC6614185; pdf:https://europepmc.org/articles/PMC6614185?pdf=render
31253980,https://doi.org/10.1038/s41588-019-0456-1,A genetics-led approach defines the drug target landscape of 30 immune-related traits,A genetics-led approach defines the drug target landscape of 30 immune-related traits.,"Fang H, ULTRA-DD Consortium, De Wolf H, Knezevic B, Burnham KL, Osgood J, Sanniti A, Lledó Lara A, Kasela S, De Cesco S, Wegner JK, Handunnetthi L, McCann FE, Chen L, Sekine T, Brennan PE, Marsden BD, Damerell D, O'Callaghan CA, Bountra C, Bowness P, Sundström Y, Milani L, Berg L, Göhlmann HW, Peeters PJ, Fairfax BP, Sundström M, Knight JC.",,Nature genetics,2019,N,,Applied Analytics,inflammatory and immune system,"Most candidate drugs currently fail later-stage clinical trials, largely due to poor prediction of efficacy on early target selection1. Drug targets with genetic support are more likely to be therapeutically valid2,3, but the translational use of genome-scale data such as from genome-wide association studies for drug target discovery in complex diseases remains challenging4-6. Here, we show that integration of functional genomic and immune-related annotations, together with knowledge of network connectivity, maximizes the informativeness of genetics for target validation, defining the target prioritization landscape for 30 immune traits at the gene and pathway level. We demonstrate how our genetics-led drug target prioritization approach (the priority index) successfully identifies current therapeutics, predicts activity in high-throughput cellular screens (including L1000, CRISPR, mutagenesis and patient-derived cell assays), enables prioritization of under-explored targets and allows for determination of target-level trait relationships. The priority index is an open-access, scalable system accelerating early-stage drug target selection for immune-mediated disease.",doi:https://doi.org/10.1038/s41588-019-0456-1; html:https://europepmc.org/articles/PMC7124888; pdf:https://europepmc.org/articles/PMC7124888?pdf=render; doi:https://doi.org/10.1038/s41588-019-0456-1
31243008,https://doi.org/10.1136/archdischild-2018-316693,Origins of disparities in preventable child mortality in England and Sweden: a birth cohort study.,Origins of disparities in preventable child mortality in England and Sweden: a birth cohort study.,"Zylbersztejn A, Gilbert R, Hjern A, Hardelid P.",,Archives of disease in childhood,2020,Y,Respiratory tract infection; Sweden; England; Child Mortality; Sudden Unexpected Death In Infancy,Improving Public Health,,"OBJECTIVE:To compare mortality in children aged <5 years from two causes amenable to healthcare prevention in England and Sweden: respiratory tract infection (RTI) and sudden unexpected death in infancy (SUDI). DESIGN:Birth cohort study using linked administrative health databases from England and Sweden. SETTING AND PARTICIPANTS:Singleton live births between 2003 and 2012 in England and Sweden, followed up from age 31 days until the fifth birthday, death or 31 December 2013. MAIN OUTCOME MEASURES:The main outcome measures were HR for RTI-related mortality at 31-364 days and at 1-4 years and SUDI mortality at 31-364 days in England versus Sweden estimated using Cox proportional hazards models. We calculated unadjusted HRs and HRs adjusted for birth characteristics (gestational age, birth weight, sex and congenital anomalies) and socioeconomic factors (maternal age and socioeconomic status). RESULTS:The English cohort comprised 3 928 483 births, 768 RTI-related deaths at 31-364 days, 691 RTI-related deaths at 1-4 years and 1166 SUDIs; the corresponding figures for the Swedish cohort were 1 012 682, 131, 118 and 189. At 31-364 days, unadjusted HR for RTI-related death in England versus Sweden was 1.52 (95% CI 1.26 to 1.82). After adjusting for birth characteristics, the HR reduced to 1.16 (95% CI 0.96 to 1.40) and for socioeconomic factors to 1.11 (95% CI 0.92 to 1.34). At 1-4 years, unadjusted HR was 1.58 (95% CI 1.30 to 1.92) and decreased to 1.32 (95% CI 1.09 to 1.61) after adjusting for birth characteristics and to 1.30 (95% CI 1.07 to 1.59) after further adjustment for socioeconomic factors. For SUDI, the respective HRs were 1.59 (95% CI 1.36 to 1.85) in the unadjusted model, and 1.40 (95% CI 1.20 to 1.63) after accounting for birth characteristics and 1.19 (95% CI 1.02 to 1.39) in the fully adjusted model. CONCLUSION:Interventions that improve maternal health before and during pregnancy to reduce the prevalence of adverse birth characteristics and address poverty could reduce child mortality due to RTIs and SUDIs in England.",doi:https://doi.org/10.1136/archdischild-2018-316693; html:https://europepmc.org/articles/PMC6951233; pdf:https://europepmc.org/articles/PMC6951233?pdf=render
31492797,https://doi.org/10.1136/bmjopen-2019-032165,Evaluation of the impact of the GRACE risk score on the management and outcome of patients hospitalised with non-ST elevation acute coronary syndrome in the UK: protocol of the UKGRIS cluster-randomised registry-based trial,Evaluation of the impact of the GRACE risk score on the management and outcome of patients hospitalised with non-ST elevation acute coronary syndrome in the UK: protocol of the UKGRIS cluster-randomised registry-based trial.,"Everett CC, Fox KA, Reynolds C, Fernandez C, Sharples L, Stocken DD, Carruthers K, Hemingway H, Yan AT, Goodman SG, Brieger D, Chew DP, Gale CP.",,BMJ open,2019,Y,Risk stratification; acute coronary syndrome; Grace; Nsteacs; Cluster Randomised Trial; Guideline-indicated Treatment,"Better, Faster and More Efficient Clinical Trials",,"INTRODUCTION:For non-ST-segment elevation acute coronary syndrome (NSTEACS) there is a gap between the use of class I guideline recommended therapies and clinical practice. The Global Registry of Acute Coronary Events (GRACE) risk score is recommended in international guidelines for the risk stratification of NSTEACS, but its impact on adherence to guideline-indicated treatments and reducing adverse clinical outcomes is unknown. The objective of the UK GRACE Risk Score Intervention Study (UKGRIS) trial is to assess the effectiveness of the GRACE risk score tool and associated treatment recommendations on the use of guideline-indicated care and clinical outcomes. METHODS AND ANALYSIS:The UKGRIS, a parallel-group cluster randomised registry-based controlled trial, will allocate hospitals in a 1:1 ratio to manage NSTEACS by standard care or according to the GRACE risk score and associated international guidelines. UKGRIS will recruit a minimum of 3000 patients from at least 30 English National Health Service hospitals and collect healthcare data from national electronic health records. The co-primary endpoints are the use of guideline-indicated therapies, and the composite of cardiovascular death, non-fatal myocardial infarction, new onset heart failure hospitalisation or cardiovascular readmission at 12 months. Secondary endpoints include duration of inpatient hospital stay over 12 months, EQ-5D-5L responses and utilities, unscheduled revascularisation and the components of the composite endpoint over 12 months follow-up. ETHICS AND DISSEMINATION:The study has ethical approval (North East - Tyne & Wear South Research Ethics Committee reference: 14/NE/1180). Findings will be announced at relevant conferences and published in peer-reviewed journals in line with the funder's open access policy. TRIAL REGISTRATION NUMBER:ISRCTN29731761; Pre-results.",doi:https://doi.org/10.1136/bmjopen-2019-032165; html:https://europepmc.org/articles/PMC6731819; pdf:https://europepmc.org/articles/PMC6731819?pdf=render
31234639,https://doi.org/10.1161/circulationaha.118.038814,Use of genetic variants related to antihypertensive drugs to inform on efficacy and side effects,Use of Genetic Variants Related to Antihypertensive Drugs to Inform on Efficacy and Side Effects.,"Gill D, Georgakis MK, Koskeridis F, Jiang L, Feng Q, Wei WQ, Theodoratou E, Elliott P, Denny JC, Malik R, Evangelou E, Dehghan A, Dichgans M, Tzoulaki I.",,Circulation,2019,Y,Antihypertensive drugs; Mendelian Randomization Analysis,"Better Care, The Human Phenome",,"BACKGROUND:Drug effects can be investigated through natural variation in the genes for their protein targets. The present study aimed to use this approach to explore the potential side effects and repurposing potential of antihypertensive drugs, which are among the most commonly used medications worldwide. METHODS:Genetic proxies for the effect of antihypertensive drug classes were identified as variants in the genes for the corresponding targets that associated with systolic blood pressure at genome-wide significance. Mendelian randomization estimates for drug effects on coronary heart disease and stroke risk were compared with randomized, controlled trial results. A phenome-wide association study in the UK Biobank was performed to identify potential side effects and repurposing opportunities, with findings investigated in the Vanderbilt University biobank (BioVU) and in observational analysis of the UK Biobank. RESULTS:Suitable genetic proxies for angiotensin-converting enzyme inhibitors, β-blockers, and calcium channel blockers (CCBs) were identified. Mendelian randomization estimates for their effect on coronary heart disease and stroke risk, respectively, were comparable to results from randomized, controlled trials against placebo. A phenome-wide association study in the UK Biobank identified an association of the CCB standardized genetic risk score with increased risk of diverticulosis (odds ratio, 1.02 per standard deviation increase; 95% CI, 1.01-1.04), with a consistent estimate found in BioVU (odds ratio, 1.01; 95% CI, 1.00-1.02). Cox regression analysis of drug use in the UK Biobank suggested that this association was specific to nondihydropyridine CCBs (hazard ratio 1.49 considering thiazide diuretic agents as a comparator; 95% CI, 1.04-2.14) but not dihydropyridine CCBs (hazard ratio, 1.04; 95% CI, 0.83-1.32). CONCLUSIONS:Genetic variants can be used to explore the efficacy and side effects of antihypertensive medications. The identified potential effect of nondihydropyridine CCBs on diverticulosis risk could have clinical implications and warrants further investigation.",doi:https://doi.org/10.1161/CIRCULATIONAHA.118.038814; html:https://europepmc.org/articles/PMC6687408; pdf:https://europepmc.org/articles/PMC6687408?pdf=render
